"Wavelength, µm","n","k"
0.528554,2.159525,0.00287
0.530148,2.158025,0.003009
0.531741,2.156539,0.003154
0.533334,2.155066,0.003303
0.534927,2.153605,0.003458
0.53652,2.152158,0.003618
0.538113,2.150722,0.003783
0.539706,2.149299,0.003954
0.541299,2.147887,0.00413
0.542892,2.146487,0.004311
0.544484,2.145099,0.004499
0.546077,2.143722,0.004692
0.54767,2.142357,0.004891
0.549263,2.141002,0.005096
0.550855,2.139658,0.005307
0.552448,2.138325,0.005524
0.55404,2.137002,0.005747
0.555633,2.13569,0.005977
0.557225,2.134389,0.006212
0.558818,2.133098,0.006454
0.56041,2.131817,0.006703
0.562002,2.130546,0.006958
0.563595,2.129285,0.007219
0.565187,2.128034,0.007487
0.566779,2.126793,0.007762
0.568371,2.125561,0.008043
0.569963,2.12434,0.008331
0.571555,2.123128,0.008625
0.573147,2.121926,0.008927
0.574739,2.120733,0.009235
0.57633,2.11955,0.00955
0.577922,2.118377,0.009872
0.579514,2.117213,0.010201
0.581105,2.116059,0.010537
0.582697,2.114914,0.01088
0.584288,2.113779,0.01123
0.58588,2.112653,0.011586
0.587471,2.111537,0.01195
0.589063,2.11043,0.012321
0.590654,2.109333,0.012698
0.592245,2.108246,0.013083
0.593836,2.107167,0.013475
0.595427,2.106099,0.013873
0.597018,2.10504,0.014279
0.598609,2.103991,0.014691
0.6002,2.102951,0.015111
0.601791,2.101921,0.015537
0.603382,2.1009,0.01597
0.604972,2.099889,0.01641
0.606563,2.098888,0.016857
0.608153,2.097896,0.017311
0.609744,2.096915,0.017772
0.611334,2.095943,0.018239
0.612925,2.094981,0.018713
0.614515,2.094028,0.019193
0.616105,2.093086,0.01968
0.617695,2.092154,0.020174
0.619285,2.091232,0.020674
0.620875,2.090319,0.02118
0.622465,2.089417,0.021693
0.624055,2.088525,0.022212
0.625645,2.087642,0.022737
0.627235,2.086771,0.023269
0.628824,2.085909,0.023806
0.630414,2.085057,0.02435
0.632003,2.084216,0.024899
0.633593,2.083385,0.025454
0.635182,2.082565,0.026015
0.636771,2.081754,0.026582
0.638361,2.080955,0.027154
0.63995,2.080165,0.027732
0.641539,2.079386,0.028315
0.643128,2.078618,0.028904
0.644716,2.07786,0.029498
0.646305,2.077113,0.030097
0.647894,2.076376,0.030701
0.649483,2.07565,0.031309
0.651071,2.074935,0.031923
0.65266,2.07423,0.032541
0.654248,2.073536,0.033164
0.655836,2.072853,0.033792
0.657425,2.072181,0.034424
0.659013,2.071519,0.03506
0.660601,2.070868,0.0357
0.662189,2.070228,0.036345
0.663777,2.069599,0.036993
0.665365,2.06898,0.037646
0.666952,2.068372,0.038302
0.66854,2.067776,0.038961
0.670128,2.06719,0.039624
0.671715,2.066615,0.040291
0.673302,2.066051,0.04096
0.67489,2.065497,0.041633
0.676477,2.064955,0.042309
0.678064,2.064423,0.042988
0.679651,2.063902,0.043669
0.681238,2.063392,0.044354
0.682825,2.062893,0.04504
0.684412,2.062405,0.045729
0.685998,2.061928,0.046421
0.687585,2.061461,0.047114
0.689171,2.061005,0.04781
0.690758,2.06056,0.048507
0.692344,2.060126,0.049207
0.69393,2.059703,0.049908
0.695517,2.05929,0.05061
0.697102,2.058888,0.051314
0.698688,2.058496,0.052019
0.700274,2.058116,0.052726
0.70186,2.057745,0.053433
0.703446,2.057386,0.054142
0.705031,2.057037,0.054851
0.706617,2.056698,0.055561
0.708202,2.05637,0.056272
0.709787,2.056053,0.056983
0.711372,2.055745,0.057694
0.712957,2.055449,0.058406
0.714542,2.055162,0.059117
0.716127,2.054886,0.059829
0.717712,2.054619,0.060541
